ID	발행연월	록키 워드 
65	2014	목적 다음 미디어 파사드 형성 특성 기존 실존주의 개념 형성 요소 범주 분석 현대 건축 도시 패러다임 부합 형성 요소 성격 정의 현대 특성 반영 형성 요소 유형 미디어 파사드 인간 인간 인간 소통 분석 회복 가늠 문헌 실존주의 이론 근거 장 소성 형성 요소 파악 사례 미디어 파사드 형성 특성 기존 장 소성 형성 요소 성격 비교 미디어 파사드 물리 속성 인간 간접 상호작용 미디어 파사드 정보 정보 물리 표면 즉각 반영 인간 행위 맥락 변화 미디어 파사드 개인 의미 공존 시공간 의미 형성 미디어 파사드 유형 사례 결과 다음 유형 미디어 파사드 즉시 한시 시간 요소 포함 건축물 투사 유형 실재 개인 의미 미디어 파사드 인간 행위 포함 사회 소통 도모 
66	2015	
67	2012	공공 도서관 형성 구조 공공 도서관 이해 공공 도서관 가치 설명 목적 공공 도서관 형성 요인 애착 가치 지각 이용자 행위 의도 변인 설정 각각 변인 간 인과관계 영향 공공 도서관 형성 요인 가치 간 매개 요인 애착 간접 효과 규명 공공 도서관 도서관 애착 가치 매개 효과 
68	2015	건축 잡지 맥락 정체성 경관 공동체 
69	2016	
70	2015	목적 북한 헤테로 토피아 측면 점화 대응 표본 검증 북한 인도 활동 재미 교포 북한 이중 인지 기독교 노스탤지어 전시 도시 평양 특수 주목 북한 한민족 폐쇄 독재 국가 고립 폐쇄 의도 경제특구 개방 시스템 침투 경계 특정 계급 평양 특수 점 헤테로 토피아 특성 민족 명산 한국 관광객 살사 고가 금강산 기네스북 등재 정도 기교 인권 유린 아리랑 공연 김소월 고향 진달래 꽃 시의 배경 동시 핵 시설 세계 영변 헤테로 토피아 점화 실험 효과 분석 실험 결과 금강산 관광 점화 효과 발견 체제 선전 인문 경관 아리랑 공연 호감 극단 영변 부정 자극 점화 효과 유의미 북한 다면 통일 기여 방향 의도 강조 변화 시사 의의 북한 점화 효과 재미 교포 헤테로 토피아 
71	2014	철학 여행 관계 여행 사유 샘 철학사 고대 그리스 파르메니데스 철학 여행 형식 기술 목격 실존 철학자 마르셀 인간 본질 순례 존재 규명 알랭 드 보통 여행의 기술 클라우스 지중해 철학 기행 철학 사유 여행 연루 부각 여행 철학 자연 인식 감상 대상 관광 차원 극복 근대 사유 전권 자유 구성 주체 동적 위치 주체 임의 구성 자연 사물 대상 이원론 소고 에선 근대 사유 후설 자연 에로 접근 하이데거 사유 주목 사유 인간 휴머니즘 서간 후기 사유 반영 자연 세계 특권 서구 인간 주체 중심주의 결별 선언 있다 대신 사유 강연 논문 사물 이란 장 인간 근원 사물 교감 교호 작용 상보 원리 근대 자연 생명 대상 부품 정도 취급 후설 의식 화살 철학사 인식론 사물 평가 분석 판단 차원 사물 말 윙크 삶 소고 자연 교감 하이데거 사유 논의 겸허 태도 자연 접근 모습 통속 차원 여행 체험 기반 논의 전개 과정 다음 말 근대 세계관 유산 하이데거 사물 교감 피 섬 개 현 은폐 피 섬 달 팔 라이 밤 경이 카이로스 시간 체험 자연 교감 사례 말 자연 존재 여행 시간 크로노스 카이로스 
72	2015	총련 재일 조선인 문학 중 아동문학 영역 바 그중 동시 장르 결과물 과언 재일 조선인 동시 조국 법 지위 불안 재일 동포 숨바꼭질 자리 놀이 행위 조국 디아스포라 관점 반영 요체 동시 숨바꼭질 모티프 조국 욕망 간 상동성 총련 일본 조선문학 예술가 동맹 이하 문예 동 문학 영역 문예 동시 숨바꼭질 놀이 그림자 놀이 그림 놀이 술래잡기 놀이 최영진 방세 고봉 전 시 맥락 조국 운동 이름 숨바꼭질 행위 연계 조국 열망 무의식 지반 발견 노력 맥락 프로이트 르 다 욕망 연계 발견 어머니 조국 디아스포라 화자 욕망 순간 권화 조국 여타 문예 구성원 무의식 우회 문예 동시 총련 문예 가독성 부양 생산 사실 감안 화자 무의식 조국 영상 문예 시 창작 무의식 만도 조국 숨바꼭질 운동 디아스포라 발현 맥락 고려 인문학 조선족 문학 미 주한 인문학 네이션 문제 눈 기대 총련 문예 재일 조선인 동시 디아스포라 숨바꼭질 술래 조국 경계 
73	2011	글로벌 확산 국가 이동 증대 영역 영역 초래 재사 유하 전환 글로벌 세계 로컬 글로벌 자본 권력 구미 재편 로컬 차별 부각 세계 소비 현지 전략 의미 글로벌 흐름 저항 고유 정체성 로컬 부각 문제의식 입각 이글 자본 힘 로컬 소비 상품 흐름 대항 로컬 정체성 노력 충돌 지점 발생 정치 구체 사례 오사카 재일 코리안 집 주 지역 위치 시장 미유키 도오 상점가 주목 조선 시장 코리아타운 정체성 형성 변화 주체 간 경합 정체성 점 재일 코리안 현지 일본인 차별 배제 극복 고유 정체성 형성 과정 글로벌 변용 과정 대비 재일 코리안 코리아타운 다 문화 정체성 정치 
74	2015	시대 요구 맥락 여성주의 지식 생산 핵심 역할 담당 한국 여성학 분절 폐쇄 분과 학문 체계 문제 중심 학제간 연구 방법론 출발 핵심 요소 진화 자본주의 가부장 체제 남성 중심 지식 생산 비판 역할 수행 역사 1970년대 한국 여성학 제도 사기 한국 여성 문제 구성 실천 여성주의 담론 발신 핵심 제도 대학 안팎 경계 존재 글 1980년대 여성학 제도 학술 운동 분화 이전 한국의 여성 문제 문제 토착 사유 체계 핵심 발화 자 계보 효 재 윤 정 대학 제도 안팎 매개 형성 시대 인식 여성 문제 구성 해결 여성 운동 방향성 가늠 이전 시대 문제 변별력 함의 여성 문제 여성학 진화 전 사기 여성학 학술 운동 기획 목적 호출 역사 성취 한계 현재 시점 이유 시대 위기 동시 기회 전환 시대 시장 자본 국가 압박 삶의 질 향상 창조 융합 혁신 여성주의 기획 여성 운동 사이 순환 긴급 마지막 한국 여성 학회 시점 추가 제기 핵심 질문 제도 여성학 이전 시기 제도 학술 장 존재 여성학 학술 운동 대학 매개 제도 이후 제도 한계 대안 제도 여성학 제도 학술 영역 삼투 성장 각도 입체 분석 필요 제안 한국 여성학 여성주의 지식 생산 이론 실천 인간 기획 분단 문제 
75	2009	형성 요인 경제 가치 현상 요인 역사 요인 토지 이용 요인 
76	2013	도시 재생 컨버전 디자인 공공 
77	2014	김영준 1960년대 강원 영동 지역 초기 문학 단체 동예 문학회 창립 회장 활동 시인 본고 김영준 시 세계 특질 중심 고찰 김영준 시 반성 참회 생 회한 비탄 내면 제작 어둠 시간 밤 배경 주조 그럼에도 불구하고 생 시 비극 실천 문학 삶 특유 페이 소스 지역 문학 지배 리시 즘 관성 개성 특유 어법 김영준 시 구체 시화 과정 서정 창출 바다 관련 주목 양상 모성 이미지 강조 점 중층 바다 체험 모성애 구체 스펙트럼 고향 위시 요소 김영준 시 세계 관류 중심 요소 의미 김영준 시 지역 삶 체험 결합 시적 구체 이다 대부분 시작 계기 문학 경험 강원 영동 지역 이다 김영준 시 특장 중 비극 세계관 강원 지역 삶 실존 조건 연동 문학 내외 부적 사실 시 세계 지역 관점 접근 필연 이유 당위 제공 측면 문학 로 컬리 티 양상 주목 김영준 시 이해 지평 확장 기여 김영준 리시 즘 해양 문학 지역 고향 의식 
78	2016	
79	2014	Chapter 4 옥 곡 화서 학파 김 묵 유중 교 유인석 이항로 존화양이 조종 암 대통 본질 
80	2016	조각 미니 멀리 즘 
81	2015	논문 1990년대 이후 진행 한국 대안 활성 이면 직면 위기 미술 대안 분석 상응 대안 형식 위치 분석 목적 대안 활동 주류 고착 범주 행위 대안 미술 창작 레지 시 거점 대안 미술관 상업 갤러리 차이 예술 단체 설명 단어 확장 그룹 형식 공동체 그룹 설명 행정가 이론가 기획자 작가 사이에서 조명하 용어 필요 기존 작가 미술 등단 위해 공모전 진출 작가 단체 임대 기획 전시 그룹 창작 시공간 오픈 스튜디오 성격 예술 생성 확산 형태 모습 각각 물리 임대 공동체 조합 결성 프로젝트 진행 논문 규모 예술 태동 주목 1990년대 후반 대안 체계 저항 체계 생성 반성 차원 예술 형식 실험 제도로 귀속 한계 제도 시간 제도 딜레마 봉착 부분 주목 본문 장 1990년대 후반 출발 한국 대안 미술 정착 배경 시간 체계 형성 미술 제도 과정 장 구조 시스템 저항 형태 진화 화두 설치 작품 이동 맥락 안정 예술 형식 길거리 프로젝트 노마 딕 예술 시 초월 미디어 아트 도래 점검 장 현재 제도 틀 변화 시도 가지 단서 전시 공연장 해체 노마 딕 공공미술 거리 미술 공공 시도 구체 사례 일련 논문 개요 시행착오 변화 대안 면모 극복 15년 담론 역사 대안 경험 축 창조 구체 의미 입지 상태 이탈 궁리 일 권력 제도 경계 틈 전례 자양분 대안 추구 방향 앞 안정 거부 비장 소성 이름 길 일 비장 소성 미 대안 노마 딕 믹스 
82	2011	미국 내 학교 스포츠 경험 이미지 지역 공동체 간 가설 인과 모형 규명 목적 미국 대학교 교내 스포츠 이용 학생 교원 지역 주민 모집단 선정 순무 작위 표집 이용 유효 표본 명 설문 자료 확보 모형 분석 프로그램 이용 구조 방정식 모형 분석 실시 결과 다음 지역 대학 스포츠 경험 이미지 직접 유의 영향 지역 대학 스포츠 경험 간접 유의 영향 지역 대학 스포츠 경험 지역 공동체 간접 유의 영향 지역 대학 스포츠 이미지 직접 유의 영향 지역 대학 스포츠 지역 공동체 직접 유의 영향 지역 대학 스포츠 이미지 지역 공동체 간접 유의 영향 
83	2017	목적 대학생 성찰 기회 제공 기반 글쓰기 수업 모형 개발 소개 학기 동안 지속 글쓰기 교과 수업 활용 대학 신입생 자신 성찰 기회 제공 대학 변화 환경 적응 토대 수업 모형 개발 수업 모형 년대 학기 지방 소재 국립대 교양 필수 과목 창의 글쓰기 말 하기 적용 학생 학기 동안 주제 집중 유도 과거 현재 미래 관통 자아 성찰 기회 제공 장 소성 개념 도입 글쓰기 적용 결과 학생 변화 환경 적응 과거 자신 뿌리 정체성 확인 현재 자신 위치 지위 애착 동시 불안 어려움 토로 미래 상상 글쓰기 불안정 현재 조언 격려 수업 성과 단편 일회 글쓰기 실습 주제 연속 점 글쓰기 학생 자신 학교 애 적응 점 요약 성찰 교양 교육 글쓰기 수업 모형 토 필리아 
84	2016	개념 건축 계획 적용 설계 이다 계획 대상지 영국 런던 템스 강 강 이동 필요 강변 정박 사용 건축물 계획 진행 다음 무장 소성 비장 소성 이론 고찰 템스 강 특수 성격 분석 건축물 관계 건축물 형태 사용자 행위 가지 관점 각각 계획 개념 계획안 적용 계획 요소 정리 정리 계획 요소 건축 프로그램 구체 최종 결과물 영국 런던 템스 강 부유 복합 문화 계획안 제안 주목 건축물 인식 건축물 사용 사람 행위 상호 보완 형성 제안 계획안 건축물 위치 템스 강 물리 자연 물질 특성 건축물 최대한 수용 건축물 자체 은유 표현 내재 속성 구현 의미 
85	2017	
86	2018	우리나라 도시 재생 선진국 도시 재생 사례 일률 벤치마킹 도시 강점 초점 지속 도시 재생 방안 필요 시작 기존 도시 재생 단점 극복 지역 자산 필요 목적 활용 과정 자산 창출 총체 과정 도시 재생 방안 제시 지역 주체 목적 역량 선택 지역 자산 활용 가시 창출 외적 과정 제도 실행 과정 기존 강화 과거 존재 현재 소멸 재생산 매력 인위 형성 구분 결과 도시 구성원 정체성 고유 내포 자산 창출 매력 지역 자산 재생산 순환 형태 지역 사회 문화 특성 반영 지속 도시 재생 방안 지역 자산 자산 도시 재생 
87	2008	지역 정체성 확보 지역 경제 활성 문화 관광 개발 정책 차별 이미지 정립 지역 소유 문화 역사 차별 활용 마케팅 전략 지역 경쟁력 강화 지역 개발 전략 일환 가치 이미지 차별 브랜드 구축 지역 이미지 포지셔닝 수립 시너지 효과 창출 종합 마케팅 전략 요구 기존 마케팅 관련 이론 논의 토대 하멜 표류 체류 역사 문화 배경 자산 지역 선정 문화 활동 효율 활용 방안 모색 사례 조사 역사 문화 배경 고찰 브랜드 이미지 판촉 관련 제안 종합 이미지 구축 효율 방안 모색 자원 도출 이미지 하멜 마케팅 문화콘텐츠 
88	2008	어린이 외부 초등학교 
89	2018	호남 가사 구현 이미지 기억 승화 
90	2016	도시 대표 경제 활동 부각 도시 철도역 역사 인근 지역 구조 역사 기능 위계 결과 형성 영향 선행 궤 추가 분석 필요 판단 잠실역 사례 바탕 형성 인과관계 도출 잠실역 대상 실증 분석 결과 상업시설 엔터테인먼트 대표 잠실역 의미 개인 행동 의도 영향 잠실역 개인 애착 행동 의도 연결 결과 도시 계획 부동산 개발 포커스 하드웨어 개발 개발 방문 행동 의도 애착 애착 콘텐츠 전제 구조 형성 점 강조 정책 시사점 도시 재생 필두 하드웨어 도시 계획 소프트웨어 도시 계획 중심축 흐름 지역 형성 구조 강화 개인 애착 소프트웨어 개발 전략 하드웨어 구축 강조 인과관계 집단 의미 개인 애착 행동 의도 
